Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-23 04:00:00,701.03,701.03,700.98,700.98,700.98,0
2024-09-23 04:15:00,700.98,700.98,700.9,700.96,700.96,0
2024-09-23 04:30:00,699.78,699.78,699.78,699.78,699.78,0
2024-09-23 05:15:00,700.57,700.99,700.57,700.79,700.79,0
2024-09-23 05:45:00,700.7,701.5,700.7,701.5,701.5,0
2024-09-23 06:00:00,701.4,701.5,701.4,701.5,701.5,0
2024-09-23 06:30:00,701.91,701.91,701.91,701.91,701.91,0
2024-09-23 07:00:00,702.21,702.21,702.21,702.21,702.21,0
2024-09-23 07:15:00,702.21,702.21,701.25,701.25,701.25,0
2024-09-23 07:30:00,701.47,701.61,701.25,701.25,701.25,0
2024-09-23 07:45:00,701.31,701.32,701.25,701.25,701.25,0
2024-09-23 08:00:00,703.0488,703.0488,697.5612,701.95,701.95,0
2024-09-23 08:15:00,702.0,702.5,701.04,701.35,701.35,0
2024-09-23 08:30:00,701.67,702.25,700.974,702.19,702.19,0
2024-09-23 08:45:00,701.625,702.25,701.0,702.1875,702.1875,0
2024-09-23 09:00:00,701.625,702.47,701.0,702.47,702.47,0
2024-09-23 09:15:00,702.35,703.1,700.94,702.13,702.13,0
2024-09-23 09:30:00,702.3900146484375,704.0999755859375,699.1599731445312,703.7999877929688,703.7999877929688,565971
2024-09-23 09:45:00,704.010009765625,712.176513671875,703.5349731445312,708.8400268554688,708.8400268554688,218229
2024-09-23 10:00:00,708.8400268554688,711.9600219726562,708.52392578125,709.6500244140625,709.6500244140625,88469
2024-09-23 10:15:00,709.510009765625,711.0,708.7999877929688,709.6849975585938,709.6849975585938,78553
2024-09-23 10:30:00,710.1300048828125,710.5,707.7100219726562,710.4998779296875,710.4998779296875,63312
2024-09-23 10:45:00,710.3200073242188,711.5198974609375,708.3099975585938,709.010009765625,709.010009765625,91744
2024-09-23 11:00:00,709.2399291992188,709.2399291992188,705.8599853515625,707.5999755859375,707.5999755859375,74905
2024-09-23 11:15:00,707.3800048828125,707.3800048828125,705.5499877929688,706.5700073242188,706.5700073242188,41229
2024-09-23 11:30:00,706.6400146484375,708.4600219726562,706.6400146484375,707.280029296875,707.280029296875,51673
2024-09-23 11:45:00,707.364990234375,708.9000244140625,706.6900024414062,707.3372802734375,707.3372802734375,88883
2024-09-23 12:00:00,707.030029296875,707.5349731445312,703.5999755859375,704.1799926757812,704.1799926757812,33891
2024-09-23 12:15:00,703.7000122070312,705.6425170898438,703.3400268554688,704.8499755859375,704.8499755859375,36095
2024-09-23 12:30:00,704.875,705.2999877929688,703.8099975585938,705.2999877929688,705.2999877929688,34663
2024-09-23 12:45:00,704.8300170898438,705.5999755859375,704.4349975585938,705.2689819335938,705.2689819335938,17953
2024-09-23 13:00:00,705.010009765625,705.7000122070312,703.97998046875,705.5900268554688,705.5900268554688,17369
2024-09-23 13:15:00,705.0,707.2000122070312,705.0,706.97998046875,706.97998046875,28843
2024-09-23 13:30:00,707.1900024414062,707.8093872070312,706.26318359375,707.2899780273438,707.2899780273438,126802
2024-09-23 13:45:00,707.3099975585938,708.1900024414062,707.1649780273438,708.1500244140625,708.1500244140625,28786
2024-09-23 14:00:00,708.1099853515625,709.1500244140625,707.1901245117188,708.2949829101562,708.2949829101562,39972
2024-09-23 14:15:00,708.27001953125,708.2999877929688,706.4400024414062,706.5924072265625,706.5924072265625,40875
2024-09-23 14:30:00,706.5999755859375,707.3300170898438,706.3699951171875,706.905029296875,706.905029296875,69318
2024-09-23 14:45:00,706.8499755859375,707.7150268554688,705.760009765625,707.2550048828125,707.2550048828125,36271
2024-09-23 15:00:00,706.97998046875,707.5399780273438,706.8099975585938,707.0800170898438,707.0800170898438,44198
2024-09-23 15:15:00,706.9400024414062,707.656982421875,705.4500122070312,705.4500122070312,705.4500122070312,96335
2024-09-23 15:30:00,705.4000244140625,705.6900024414062,704.0029907226562,704.739990234375,704.739990234375,59030
2024-09-23 15:45:00,705.0,706.5399780273438,704.5050048828125,705.3499755859375,705.3499755859375,243493
2024-09-23 16:00:00,705.37,706.46,705.37,705.875,705.875,0
2024-09-23 16:15:00,705.875,706.6375,705.37,705.5775,705.5775,0
2024-09-23 16:30:00,705.55,706.65,705.37,705.37,705.37,0
2024-09-23 16:45:00,706.095,706.64,705.55,706.095,706.095,0
2024-09-23 17:00:00,706.095,706.7,705.55,706.125,706.125,0
2024-09-23 17:15:00,706.125,706.7,705.5787,705.775,705.775,0
2024-09-23 17:30:00,705.775,706.2971,705.55,706.125,706.125,0
2024-09-23 17:45:00,706.1,706.7,705.55,706.125,706.125,0
2024-09-23 18:00:00,706.075,706.075,705.77,706.0,706.0,0
2024-09-23 18:15:00,705.46,706.2,705.46,705.75,705.75,0
2024-09-23 18:30:00,705.8,706.6712,705.0,705.8,705.8,0
2024-09-23 18:45:00,705.75,706.0,705.5787,705.5787,705.5787,0
2024-09-23 19:00:00,705.77,706.05,705.325,705.325,705.325,0
2024-09-23 19:15:00,705.7,705.7,705.0,705.5,705.5,0
2024-09-23 19:30:00,705.64,705.7605,705.405,705.7605,705.7605,0
2024-09-23 19:45:00,705.36,706.6712,705.0101,705.4,705.4,0
